career_name,onet_soc_code,onet_title,source_domain,concept_type,external_skill_id,external_skill_name,raw_importance,normalized_importance,importance_scale_minimum,importance_scale_maximum,importance_n,importance_standard_error,importance_lower_ci,importance_upper_ci,importance_recommend_suppress,importance_not_relevant,importance_date,importance_domain_source,raw_level,normalized_level,level_scale_minimum,level_scale_maximum,level_n,level_standard_error,level_lower_ci,level_upper_ci,level_recommend_suppress,level_not_relevant,level_date,level_domain_source,recommend_suppress,not_relevant,score_eligible
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_transferable_skills,skill,2.B.5.b,Management of Financial Resources,2.00,25.00,1,5,8,0.2673,1.4762,2.5238,N,,08/2023,Analyst,1.62,23.14,0,7,8,0.3750,0.8900,2.3600,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_transferable_skills,skill,2.B.5.c,Management of Material Resources,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2023,Analyst,1.50,21.43,0,7,8,0.3273,0.8584,2.1416,N,N,08/2023,Analyst,false,false,true
Workplace Relations Adviser,13-1075.00,Labor Relations Specialists,onet_transferable_skills,skill,2.B.5.d,Management of Personnel Resources,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2023,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2023,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.a,Social Perceptiveness,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2020,Analyst,3.00,42.86,0,7,8,0.0000,3.0000,3.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.b,Coordination,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2020,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.c,Persuasion,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2020,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.d,Negotiation,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2020,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.e,Instructing,2.88,47.00,1,5,8,0.1250,2.6300,3.1200,N,,08/2020,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.1.f,Service Orientation,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2020,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.2.i,Complex Problem Solving,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.a,Operations Analysis,2.12,28.00,1,5,8,0.1250,1.8800,2.3700,N,,08/2020,Analyst,2.62,37.43,0,7,8,0.2631,2.1094,3.1406,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.b,Technology Design,1.88,22.00,1,5,8,0.1250,1.6300,2.1200,N,,08/2020,Analyst,1.75,25.00,0,7,8,0.2500,1.2600,2.2400,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.c,Equipment Selection,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2020,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2020,Analyst,false,true,false
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.d,Installation,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2020,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2020,Analyst,false,true,false
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.e,Programming,2.00,25.00,1,5,8,0.1890,1.6296,2.3704,N,,08/2020,Analyst,1.75,25.00,0,7,8,0.3134,1.1358,2.3642,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.g,Operations Monitoring,2.12,28.00,1,5,8,0.1250,1.8800,2.3700,N,,08/2020,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.h,Operation and Control,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2020,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2020,Analyst,false,true,false
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.j,Equipment Maintenance,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2020,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2020,Analyst,false,true,false
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.k,Troubleshooting,1.50,12.50,1,5,8,0.1890,1.1296,1.8704,N,,08/2020,Analyst,0.50,7.14,0,7,8,0.1890,0.1296,0.8704,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.l,Repairing,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2020,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2020,Analyst,false,true,false
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.3.m,Quality Control Analysis,2.25,31.25,1,5,8,0.2500,1.7600,2.7400,N,,08/2020,Analyst,2.25,32.14,0,7,8,0.3660,1.5327,2.9673,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.4.e,Judgment and Decision Making,3.62,65.50,1,5,8,0.1830,3.2664,3.9836,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.4.g,Systems Analysis,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2020,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.4.h,Systems Evaluation,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2020,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.5.a,Time Management,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2020,Analyst,3.38,48.29,0,7,8,0.1830,3.0164,3.7336,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.5.b,Management of Financial Resources,2.50,37.50,1,5,8,0.1890,2.1296,2.8704,N,,08/2020,Analyst,2.50,35.71,0,7,8,0.1890,2.1296,2.8704,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.5.c,Management of Material Resources,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2020,Analyst,2.25,32.14,0,7,8,0.1637,1.9292,2.5708,N,N,08/2020,Analyst,false,false,true
Supply Chain Analyst,13-1081.02,Logistics Analysts,onet_transferable_skills,skill,2.B.5.d,Management of Personnel Resources,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2020,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2020,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.a,Social Perceptiveness,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2022,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.b,Coordination,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2022,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.c,Persuasion,3.50,62.50,1,5,8,0.1890,3.1296,3.8704,N,,08/2022,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.d,Negotiation,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2022,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.e,Instructing,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2022,Analyst,3.50,50.00,0,7,8,0.1890,3.1296,3.8704,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.1.f,Service Orientation,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2022,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.2.i,Complex Problem Solving,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2022,Analyst,4.00,57.14,0,7,8,0.0000,4.0000,4.0000,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.a,Operations Analysis,3.00,50.00,1,5,8,0.1890,2.6296,3.3704,N,,08/2022,Analyst,3.88,55.43,0,7,8,0.2266,3.4309,4.3191,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.b,Technology Design,2.12,28.00,1,5,8,0.2266,1.6809,2.5691,N,,08/2022,Analyst,1.38,19.71,0,7,8,0.3239,0.7402,2.0098,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.c,Equipment Selection,1.12,3.00,1,5,8,0.1250,1.0000,1.3700,N,,08/2022,Analyst,0.12,1.71,0,7,8,0.1250,0.0000,0.3700,N,Y,08/2022,Analyst,false,true,false
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.d,Installation,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2022,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2022,Analyst,false,true,false
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.e,Programming,1.88,22.00,1,5,8,0.1250,1.6300,2.1200,N,,08/2022,Analyst,1.25,17.86,0,7,8,0.2500,0.7600,1.7400,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.g,Operations Monitoring,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2022,Analyst,1.12,16.00,0,7,8,0.3504,0.4383,1.8117,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.h,Operation and Control,1.38,9.50,1,5,8,0.1830,1.0164,1.7336,N,,08/2022,Analyst,0.50,7.14,0,7,8,0.2673,0.0000,1.0238,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.j,Equipment Maintenance,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2022,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2022,Analyst,false,true,false
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.k,Troubleshooting,1.25,6.25,1,5,8,0.1637,1.0000,1.5708,N,,08/2022,Analyst,0.25,3.57,0,7,8,0.1637,0.0000,0.5708,N,Y,08/2022,Analyst,false,true,false
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.l,Repairing,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2022,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2022,Analyst,false,true,false
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.3.m,Quality Control Analysis,1.75,18.75,1,5,8,0.2500,1.2600,2.2400,N,,08/2022,Analyst,0.88,12.57,0,7,8,0.2950,0.2967,1.4533,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.4.e,Judgment and Decision Making,4.00,75.00,1,5,8,0.0000,4.0000,4.0000,N,,08/2022,Analyst,4.12,58.86,0,7,8,0.1250,3.8800,4.3700,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.4.g,Systems Analysis,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2022,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.4.h,Systems Evaluation,3.88,72.00,1,5,8,0.1250,3.6300,4.1200,N,,08/2022,Analyst,3.88,55.43,0,7,8,0.1250,3.6300,4.1200,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.5.a,Time Management,3.25,56.25,1,5,8,0.1637,2.9292,3.5708,N,,08/2022,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.5.b,Management of Financial Resources,2.25,31.25,1,5,8,0.1637,1.9292,2.5708,N,,08/2022,Analyst,1.50,21.43,0,7,8,0.2673,0.9762,2.0238,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.5.c,Management of Material Resources,2.25,31.25,1,5,8,0.1637,1.9292,2.5708,N,,08/2022,Analyst,2.25,32.14,0,7,8,0.1637,1.9292,2.5708,N,N,08/2022,Analyst,false,false,true
Management Consultant,13-1111.00,Management Analysts,onet_transferable_skills,skill,2.B.5.d,Management of Personnel Resources,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2022,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2022,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.a,Social Perceptiveness,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.a,Social Perceptiveness,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.a,Social Perceptiveness,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.b,Coordination,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.b,Coordination,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.b,Coordination,3.00,50.00,1,5,8,0.0000,3.0000,3.0000,N,,08/2026,Analyst,3.12,44.57,0,7,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.c,Persuasion,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.c,Persuasion,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.c,Persuasion,3.12,53.00,1,5,8,0.1250,2.8800,3.3700,N,,08/2026,Analyst,3.25,46.43,0,7,8,0.1637,2.9292,3.5708,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.d,Negotiation,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.d,Negotiation,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.d,Negotiation,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.e,Instructing,2.50,37.50,1,5,8,0.1890,2.1296,2.8704,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.e,Instructing,2.50,37.50,1,5,8,0.1890,2.1296,2.8704,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.e,Instructing,2.50,37.50,1,5,8,0.1890,2.1296,2.8704,N,,08/2026,Analyst,2.88,41.14,0,7,8,0.1250,2.6300,3.1200,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.f,Service Orientation,2.75,43.75,1,5,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.1890,2.6296,3.3704,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.f,Service Orientation,2.75,43.75,1,5,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.1890,2.6296,3.3704,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.1.f,Service Orientation,2.75,43.75,1,5,8,0.1637,2.4292,3.0708,N,,08/2026,Analyst,3.00,42.86,0,7,8,0.1890,2.6296,3.3704,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.2.i,Complex Problem Solving,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.2.i,Complex Problem Solving,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.2.i,Complex Problem Solving,3.75,68.75,1,5,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst,3.75,53.57,0,7,8,0.1637,3.4292,4.0708,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.a,Operations Analysis,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.75,39.29,0,7,8,0.1637,2.4292,3.0708,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.a,Operations Analysis,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.75,39.29,0,7,8,0.1637,2.4292,3.0708,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.a,Operations Analysis,2.62,40.50,1,5,8,0.1830,2.2664,2.9836,N,,08/2026,Analyst,2.75,39.29,0,7,8,0.1637,2.4292,3.0708,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.b,Technology Design,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,0.88,12.57,0,7,8,0.2266,0.4309,1.3191,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.b,Technology Design,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,0.88,12.57,0,7,8,0.2266,0.4309,1.3191,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.b,Technology Design,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,0.88,12.57,0,7,8,0.2266,0.4309,1.3191,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.c,Equipment Selection,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.c,Equipment Selection,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.c,Equipment Selection,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.d,Installation,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.d,Installation,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.d,Installation,1.00,0.00,1,5,8,0.0000,1.0000,1.0000,N,,08/2026,Analyst,0.00,0.00,0,7,8,0.0000,0.0000,0.0000,N,Y,08/2026,Analyst,false,true,false
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.e,Programming,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.e,Programming,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.e,Programming,2.00,25.00,1,5,8,0.0000,2.0000,2.0000,N,,08/2026,Analyst,2.00,28.57,0,7,8,0.0000,2.0000,2.0000,N,N,08/2026,Analyst,false,false,true
Content Creator (Marketing),13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.g,Operations Monitoring,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,1.00,14.29,0,7,8,0.2673,0.4762,1.5238,N,N,08/2026,Analyst,false,false,true
Market Research Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.g,Operations Monitoring,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,1.00,14.29,0,7,8,0.2673,0.4762,1.5238,N,N,08/2026,Analyst,false,false,true
Marketing Specialist,13-1161.00,Market Research Analysts and Marketing Specialists,onet_transferable_skills,skill,2.B.3.g,Operations Monitoring,1.75,18.75,1,5,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst,1.00,14.29,0,7,8,0.2673,0.4762,1.5238,N,N,08/2026,Analyst,false,false,true
